timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519580892677,3258,HTTP Request,200,,request for index 3-52,text,true,,3425,146,49,212,3256,0,1
1519580892401,3536,HTTP Request,200,,request for index 3-32,text,true,,3425,141,48,211,3532,0,0
1519580892766,3173,HTTP Request,200,,request for index 3-58,text,true,,3425,147,47,210,3172,0,0
1519580893304,2638,HTTP Request,200,,request for index 3-98,text,true,,3425,143,46,209,2638,0,0
1519580892796,3149,HTTP Request,200,,request for index 3-60,text,true,,3425,144,45,208,3148,0,0
1519580893001,2950,HTTP Request,200,,request for index 3-76,text,true,,3425,145,44,207,2950,0,0
1519580892481,3472,HTTP Request,200,,request for index 3-39,text,true,,3425,143,43,206,3472,0,1
1519580892975,2992,HTTP Request,200,,request for index 3-74,text,true,,3425,143,42,205,2992,0,5
1519580892917,3054,HTTP Request,200,,request for index 3-69,text,true,,3425,145,41,204,3054,0,0
1519580892473,3499,HTTP Request,200,,request for index 3-38,text,true,,3425,150,40,203,3499,0,0
1519580892633,3340,HTTP Request,200,,request for index 3-49,text,true,,3425,143,39,202,3340,0,0
1519580892072,3903,HTTP Request,200,,request for index 3-8,text,true,,3425,147,38,201,3903,0,0
1519580892705,3273,HTTP Request,200,,request for index 3-54,text,true,,3425,144,37,200,3270,0,0
1519580892147,3837,HTTP Request,200,,request for index 3-14,text,true,,3425,147,36,199,3836,0,1
1519580893225,2770,HTTP Request,200,,request for index 3-92,text,true,,3425,148,35,198,2763,0,1
1519580892810,3198,HTTP Request,200,,request for index 3-61,text,true,,3425,142,34,197,3172,0,1
1519580892689,3320,HTTP Request,200,,request for index 3-53,text,true,,3425,148,34,197,3298,0,0
1519580893023,2991,HTTP Request,200,,request for index 3-78,text,true,,3425,147,32,195,2990,0,1
1519580892448,3571,HTTP Request,200,,request for index 3-36,text,true,,3425,142,31,194,3569,0,1
1519580891610,4415,HTTP Request_Login check,200,,login Test 2-3,text,true,,651,474,87,193,4194,0,19
1519580891578,4449,HTTP Request_SignupCheck,200,,signuptest 1-16,text,true,,640,556,76,192,4229,0,71
1519580893247,2786,HTTP Request,200,,request for index 3-94,text,true,,3425,144,30,191,2781,0,0
